"id","kind","source","disposition","destination","decision","note"
"M103","DESIGN","plugins/machinery/rules/design-invariants.md § Reading someone else's data model","parked","unbreakable (future)","24","Never narrow collection; draft kept in draft/parked-unbreakable/design"
"M104","DESIGN","plugins/machinery/rules/design-invariants.md § Reading someone else's data model","parked","unbreakable (future)","24","was merged into M103; Accessor that could, or record gap; draft kept in draft/parked-unbreakable/design"
"M105","DESIGN","plugins/machinery/rules/design-invariants.md § Reading someone else's data model","parked","unbreakable (future)","24","Keep source name; draft kept in draft/parked-unbreakable/design"
"M106","DESIGN","plugins/machinery/rules/design-invariants.md § Reading someone else's data model","parked","unbreakable (future)","24","One-vs-many from store; draft kept in draft/parked-unbreakable/design"
"M107","TESTING","plugins/machinery/rules/design-invariants.md § Spatial output","merged","M228","2","Rendered-layout check in hands-on verification"
"M108","DESIGN","plugins/machinery/rules/design-invariants.md § Spatial output","merged","M228","2","Reason about rendered geometry"
"M109","DESIGN","plugins/machinery/rules/design-invariants.md § Spatial output","parked","unbreakable (future)","24","Control placement; draft kept in draft/parked-unbreakable/design"
"M110","INSTRUMENTATION","plugins/machinery/rules/design-invariants.md § Carrying instrumentation","dropped","","5","No blanket instrumentation duty"
"M111","INSTRUMENTATION","plugins/machinery/rules/design-invariants.md § Carrying instrumentation","dropped","","5","No per-touch instrumentation"
"M112","INSTRUMENTATION","plugins/machinery/rules/design-invariants.md § Carrying instrumentation","dropped","","5","No per-function profiling annotation"
"M113","INSTRUMENTATION","plugins/machinery/rules/design-invariants.md § Carrying instrumentation","skill","draft/skills/instrumentation/SKILL.md","5","Per-site duty dropped; switch shape kept; positive control dropped (4)"
"M114","INSTRUMENTATION","plugins/machinery/rules/design-invariants.md § Carrying instrumentation","merged","M113","5","Index registration kept when a switch is added"
"M115","INSTRUMENTATION","plugins/machinery/rules/design-invariants.md § Carrying instrumentation","dropped","","5","Per-site interrogability bar dropped"
"M116","INSTRUMENTATION","plugins/machinery/rules/design-invariants.md § What a diagnostic and a measurement may claim","merged","M117","2","Level decided once"
"M117","INSTRUMENTATION","plugins/machinery/rules/design-invariants.md § What a diagnostic and a measurement may claim","skill","draft/skills/instrumentation/SKILL.md","2","Diagnostic code declared once"
"M118","DESIGN","plugins/machinery/rules/design-invariants.md § What a diagnostic and a measurement may claim","parked","unbreakable (future)","24","Warnings in return value; draft kept in draft/parked-unbreakable/design"
"M119","INSTRUMENTATION","plugins/machinery/rules/design-invariants.md § What a diagnostic and a measurement may claim","dropped","","5","Profiled-unit gap list is per-unit duty"
"M120","INSTRUMENTATION","plugins/machinery/rules/design-invariants.md § What a diagnostic and a measurement may claim","skill","draft/skills/instrumentation/SKILL.md","2","Printed cost has own clock"
"M121","INSTRUMENTATION","plugins/machinery/rules/design-invariants.md § What a diagnostic and a measurement may claim","skill","draft/skills/instrumentation/SKILL.md","2","Per-run measurement value"
"M122","DESIGN","plugins/machinery/rules/design-invariants.md § The base language's own convention","parked","unbreakable (future)","24","Native conventions internally; draft kept in draft/parked-unbreakable/design"
"M123","TOOLING","plugins/machinery/rules/environment-and-platform.md § Platform scope","skill","draft/skills/tooling/SKILL.md","2","Platform scope decision"
"M124","TOOLING","plugins/machinery/rules/environment-and-platform.md § Platform scope","merged","M123","2","Name actual toolchain"
"M125","TOOLING","plugins/machinery/rules/environment-and-platform.md § Resolving a tool","skill","draft/skills/tooling/SKILL.md","2","Explicit-path resolution"
"M126","TOOLING","plugins/machinery/rules/environment-and-platform.md § Resolving a tool","skill","draft/skills/tooling/SKILL.md","3","Fail loudly naming what was missing"
"M127","TOOLING","plugins/machinery/rules/environment-and-platform.md § Dependencies","core","draft/core.md","1","Dependency needs owner approval"
"M128","TOOLING","plugins/machinery/rules/environment-and-platform.md § Dependencies","skill","draft/skills/tooling/SKILL.md","2","Few transitive dependencies"
"M129","TOOLING","plugins/machinery/rules/environment-and-platform.md § Dependencies","skill","draft/skills/tooling/SKILL.md","2","Frozen lock file"
"M130","TOOLING","plugins/machinery/rules/environment-and-platform.md § Dependencies","merged","M129","2","Lifecycle scripts allowlist"
"M131","TOOLING","plugins/machinery/rules/environment-and-platform.md § Dependencies","merged","M129","2","Minimum age"
"M132","TOOLING","plugins/machinery/rules/environment-and-platform.md § Dependencies","merged","M129","2","Pinned installer"
"M133","DESIGN","plugins/machinery/rules/reference-sources.md § Reference only","core","draft/core.md","1","Reference only"
"M134","DESIGN","plugins/machinery/rules/reference-sources.md § Reference only","merged","M133","1","Never copy line by line"
"M135","RECORDS","plugins/machinery/rules/reference-sources.md § Reference only","merged","M133","1","Cite in specs, not source"
"M136","COMMUNICATION","plugins/machinery/rules/reference-sources.md § Reference only","merged","M133","1","Stop and ask"
"M137","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Dictating a rule","mechanism","capture.mjs","10","Marker-only capture is the hook"
"M138","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Dictating a rule","mechanism","capture.mjs","10","Verbatim capture before reply"
"M139","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Dictating a rule","mechanism","capture.mjs","10","Entry shape written by hook"
"M140","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Dictating a rule","mechanism","capture.mjs","3","Hook message tells session to file"
"M141","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Dictating a rule","skill","draft/skills/rule-process/SKILL.md","10","Unmarked ruling added by hand"
"M142","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Dictating a rule","skill","draft/skills/rule-process/SKILL.md","10","Inbox append-only"
"M143","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Dictating a rule","mechanism","pre-commit inbox check","10","Inbox gate refuses commit"
"M144","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Where a rule lives","dropped","","10","Register dropped"
"M145","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Where a rule lives","dropped","","1, 2, 19","Homes are now core, kind skills, specs; ledger parked"
"M146","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Where a rule lives","dropped","","10","Register citations dropped"
"M147","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Where a rule lives","dropped","","10","Register dropped"
"M148","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Where a rule lives","skill","draft/skills/rule-process/SKILL.md","1, 2","Project vs universal home, now core or kind skill"
"M149","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Finding the group it joins","merged","M148","1, 2","Ask owner when two homes fit"
"M150","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Finding the group it joins","dropped","","1, 2","Rule groups no longer exist"
"M151","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Finding the group it joins","dropped","","10","Status marks dropped"
"M152","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Finding the group it joins","dropped","","1, 2","Group placement ladder replaced by core/kind skill"
"M153","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Finding the group it joins","dropped","","developer-friendliness tabled; machinery no longer depends on it (0.1.114)","Depends on tabled skill"
"M154","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Filing and closing the loop","skill","draft/skills/rule-process/SKILL.md","10","Only dictated rules filed"
"M155","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Filing and closing the loop","dropped","","10","Supersession dropped"
"M156","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Filing and closing the loop","dropped","","10","Supersession dropped"
"M157","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Filing and closing the loop","merged","M391","10","Home and disposition in one commit; register part dropped"
"M158","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Filing and closing the loop","dropped","","10","Register check dropped"
"M159","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Filing and closing the loop","dropped","","1, 2, 10","Group summaries dropped with groups"
"M160","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Filing and closing the loop","dropped","","10","Status marks dropped"
"M161","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Filing and closing the loop","dropped","","1, 2, 10","Group enforcement statements dropped with groups"
"M162","RECORDS","plugins/machinery/rules/rule-governance.md § When a belief turns out false","dropped","","17","Automatic post-mortem claim removed; manual /postmortem"
"M163","AGENTS","plugins/machinery/rules/rule-governance.md § When a belief turns out false","merged","M164","17","One agent, mid tier"
"M164","RECORDS","plugins/machinery/rules/rule-governance.md § When a belief turns out false","skill","draft/skills/postmortem/SKILL.md","17","Four answers; guardrail replaces standing rule"
"M165","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Honesty about the machinery","mechanism","pre-commit inbox check","10","Inbox gate"
"M166","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Honesty about the machinery","mechanism","pre-commit inbox check","13, 14","Every commit via hook; CI via hosted-CI wizard"
"M167","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Honesty about the machinery","dropped","","10","Register nudge dropped"
"M168","COMMUNICATION","plugins/machinery/rules/rule-governance.md § Honesty about the machinery","merged","M173","1","Tooling claims need evidence"
"M169","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Honesty about the machinery","mechanism","banner.mjs","3, 10","Banner already prints markers; register line dropped"
"M170","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Honesty about the machinery","dropped","","10","Register provenance dropped"
"M171","RULE-PROCESS","plugins/machinery/rules/rule-governance.md § Honesty about the machinery","dropped","","10","Citation rule dropped with register"
"M172","COMMUNICATION","plugins/machinery/rules/straight-talk.md § Saying what you know","merged","M173","1","I don't know"
"M173","COMMUNICATION","plugins/machinery/rules/straight-talk.md § Saying what you know","core","draft/core.md","1","Measured vs believed"
"M174","COMMUNICATION","plugins/machinery/rules/straight-talk.md § Saying what you know","merged","M173","1","Cause only after isolating"
"M175","COMMUNICATION","plugins/machinery/rules/straight-talk.md § Bad news first","core","draft/core.md","1","Stop before deviating"
"M176","REPORTING","plugins/machinery/rules/straight-talk.md § Bad news first","merged","M177","Reports ruling","Bad news in first message"
"M177","REPORTING","plugins/machinery/rules/straight-talk.md § Bad news first","core","draft/core.md","Reports ruling","Reports few lines, bad news first"
"M178","COMMUNICATION","plugins/machinery/rules/straight-talk.md § Bad news first","merged","M177","Reports ruling","Honesty first"
"M179","COMMUNICATION","plugins/machinery/rules/straight-talk.md § How much to say","merged","M177","Reports ruling","Brevity"
"M180","COMMUNICATION","plugins/machinery/rules/straight-talk.md § How much to say","merged","M182","1","Plain analogy for esoteric terms"
"M181","COMMUNICATION","plugins/machinery/rules/straight-talk.md § How much to say","merged","M182","1","Artifacts keep precise terms"
"M182","COMMUNICATION","plugins/machinery/rules/straight-talk.md § The words you use","core","draft/core.md","Owner rule","Standard vocabulary"
"M183","TOOLING","plugins/machinery/rules/tool-output.md § Proof lines and denominators","skill","draft/skills/tooling/SKILL.md","4","Written for gate authors"
"M184","TOOLING","plugins/machinery/rules/tool-output.md § Proof lines and denominators","skill","draft/skills/tooling/SKILL.md","4","Written for tool authors"
"M185","TOOLING","plugins/machinery/rules/tool-output.md § Proof lines and denominators","skill","draft/skills/tooling/SKILL.md","2","No quiet flag under filter"
"M186","TOOLING","plugins/machinery/rules/tool-output.md § Proof lines and denominators","merged","M126","3","Duplicate of fail-loud"
"M187","TOOLING","plugins/machinery/rules/tool-output.md § Heartbeats","skill","draft/skills/tooling/SKILL.md","4","Heartbeat for tool authors"
"M188","TOOLING","plugins/machinery/rules/tool-output.md § Heartbeats","merged","M187","2","Heartbeat shape"
"M189","TOOLING","plugins/machinery/rules/tool-output.md § Heartbeats","merged","M187","2","Heartbeat on own output"
"M190","TESTING","plugins/machinery/rules/tool-output.md § Heartbeats","merged","M187","4","Fixture written by filter change"
"M191","TOOLING","plugins/machinery/rules/tool-output.md § Heartbeats","skill","draft/skills/tooling/SKILL.md","15","Silence means hung; used with Monitor"
"M192","TOOLING","plugins/machinery/rules/tool-output.md § Heartbeats","merged","M187","2","Missing heartbeat is defect"
"M193","PLANNING","plugins/machinery/rules/verification-and-evidence.md § Predict before you work","dropped","","6","No written beliefs; spec holds design beliefs"
"M194","PLANNING","plugins/machinery/rules/verification-and-evidence.md § Predict before you work","dropped","","6","Failing tests state change; hooks show what was untouched"
"M195","PLANNING","plugins/machinery/rules/verification-and-evidence.md § Predict before you work","dropped","","6","TDD red replaces predictions"
"M196","REPORTING","plugins/machinery/rules/verification-and-evidence.md § Predict before you work","dropped","","6","No one-by-one confirmation"
"M197","PLANNING","plugins/machinery/rules/verification-and-evidence.md § Predict before you work","dropped","","6","Test results are confirmation"
"M198","REPORTING","plugins/machinery/rules/verification-and-evidence.md § Predict before you work","dropped","","6","No prediction reports"
"M199","PLANNING","plugins/machinery/rules/verification-and-evidence.md § Declare the standard you are claiming","merged","M230","6","Refactor commit says no behaviour change"
