"Group plugin","New rule","Existing rule","SDLC stage","Kind","Test type","Plugin","Location","Trigger"
"machinery","","M393: 7. **Universal only:** `/machinery:reload` so this session sees the rule now.","ANY","RULE-PROCESS","","machinery","claude-code/machinery/rule-intake/SKILL.md § /machinery:rule-intake","universal rule filed"
"machinery","","M509: a project rule is filed only from a root session (git dir = common dir); this is an isolated working copy — leave the entry pending and file from the root","ANY","RULE-PROCESS","","machinery","plugins/machinery/scripts/intake.mjs § commit()","project rule intake run from a working copy"
"machinery","A SPEC: prompt is an authoritative specification to implement, framed by the work in flight and tied to existing tickets. When one is captured or pending, run /machinery:spec-intake from a root session (in an isolated copy say so and stop): file it into the specification under docs/dictated-specs/ that owns the subsystem, keeping its substance (the directory is fixed and created if absent; SPEC_INDEX.md lives in .claude/machinery/), commit with the regenerated index and disposition via intake.mjs, or dismiss a non-specification with its reason, and report file § Section. Work is dispatched only after filing, citing the specification by path rather than restating it.","M493: ${specs} specification${specs === 1 ? '' : 's'} pending in the spec inbox — running the spec intake (skill: machinery:spec-intake) before this prompt.","SESSION-START","RULE-PROCESS","","machinery","plugins/machinery/scripts/capture.mjs § main()","specifications pending at prompt"
"machinery","","M283: - A prompt beginning `SPEC:` carries a specification to implement, not a rule about behaviour and not a proposal to weigh. Treat it as the authoritative design a principal architect hands down: it is framed by the work, feature or campaign currently in flight or just discussed, and it has associated tickets to find rather than to invent. It lands in the specification that owns that subsystem, never in a rules file, before any work is dispatched on it — and a dispatch then cites that specification by path rather than restating it.","DESIGN","RULE-PROCESS","","machinery","plugins/machinery/rules/work-tracking.md § A specification handed down","prompt begins with SPEC:"
"machinery","","M402: 5. **Commit the filing** (spec index regenerated, entry dispositioned, one commit in the project's root checkout): `node ""${CLAUDE_PLUGIN_ROOT}/scripts/intake.mjs"" commit --kind spec --stamp <stamp> --home ""<docs/dictated-specs/file.md> § <Heading>""`","COMMIT","RULE-PROCESS","","machinery","claude-code/machinery/spec-intake/SKILL.md § /machinery:spec-intake","specification written"
"machinery","","M403: 6. **Dismiss** instead of file when the dictated text is not a specification (a question, a duplicate): `node ""${CLAUDE_PLUGIN_ROOT}/scripts/disposition.mjs"" --inbox .claude/machinery/spec-inbox.md --stamp <stamp> --dismissed ""<reason>""`, then commit the inbox.","COMMIT","RULE-PROCESS","","machinery","claude-code/machinery/spec-intake/SKILL.md § /machinery:spec-intake","dictated text is not a specification"
"machinery","","M404: 7. Report what was filed where, verbatim `file § Section`, and what was dismissed with its reason. Any work dispatched on the specification cites it by that path rather than restating it.","CLAIM","REPORTING","","machinery","claude-code/machinery/spec-intake/SKILL.md § /machinery:spec-intake","spec intake finished"
"machinery","","M286: - Dictated specifications persist under `docs/dictated-specs` — one fixed, known location every project shares, with nothing to declare, resolve or guess; a disposition names the path the specification was filed to, and the gate refuses a disposition naming a path outside that area.","ANY","RULE-PROCESS","GATE","machinery","plugins/machinery/rules/work-tracking.md § A specification handed down","filing a dictated specification"
"machinery","","M395: Use the moment a SPEC: prompt is captured (the capture hook says ""run the spec intake now""), when a prompt starts with ""N specifications pending in the spec inbox"", or when the commit gate reports a pending spec entry. Files the specification into the document under docs/dictated-specs/ that owns the subsystem, regenerates SPEC_INDEX.md, dispositions the entry, commits. Never invents a specification nobody dictated.","ANY","SKILL-TRIGGER","","machinery","claude-code/machinery/spec-intake/SKILL.md § frontmatter","SPEC: captured, pending specs, or gate pending spec"
"machinery","","M396: A `SPEC:` prompt is a specification handed down, not a rule and not a proposal.","ANY","RULE-PROCESS","","machinery","claude-code/machinery/spec-intake/SKILL.md § /machinery:spec-intake","a SPEC: prompt"
"machinery","","M398: 1. **List** what is pending: `node ""${CLAUDE_PLUGIN_ROOT}/scripts/intake.mjs"" list` — one line per entry: `stamp  marker  inbox  first-line`. SPEC entries appear only in a root session; if you are in an isolated working copy, say so and stop — they will be filed from a root session.","ANY","RULE-PROCESS","","machinery","claude-code/machinery/spec-intake/SKILL.md § /machinery:spec-intake","running spec intake"
"machinery","","M399: 2. **Read the verbatim text** from the spec inbox. Decide which specification under `docs/dictated-specs/` owns the subsystem it describes. That judgement is yours and no mechanism makes it — but the destination is not negotiable: it is a file under `docs/dictated-specs/`, and the intake refuses anything else.","ANY","RULE-PROCESS","","machinery","claude-code/machinery/spec-intake/SKILL.md § /machinery:spec-intake","each pending spec entry"
"machinery","","M400: 3. **The location is fixed**, not per-project: `docs/dictated-specs/` at the project root, with nothing to declare or resolve. The generated `SPEC_INDEX.md` does NOT sit in there — it lives in `.claude/machinery/`, beside the rules index, so both generated indexes are in one place. If the directory does not exist yet, the intake creates it — that is a project with no specifications filed, not a misconfiguration. Never file one anywhere else; the gate refuses it.","ANY","RULE-PROCESS","","machinery","claude-code/machinery/spec-intake/SKILL.md § /machinery:spec-intake","filing a specification"
"machinery","","M401: 4. **Write the specification** into that file — a new section, or an amendment to the section that owns it. Keep the dictated wording's substance; a specification is the authoritative design, not a summary of one.","ANY","RULE-PROCESS","","machinery","claude-code/machinery/spec-intake/SKILL.md § /machinery:spec-intake","writing the specification"
"machinery","","M508: a specification is filed only from a root session (git dir = common dir); this is an isolated working copy — leave the entry pending and file from the root","ANY","RULE-PROCESS","","machinery","plugins/machinery/scripts/intake.mjs § commit()","spec intake run from a working copy"
"developer-friendliness","When you need a record back, escalate: the cheapest index first (titles, names, a list), then the one compressed entry for the item (for a ticket, its companion entry), then the full record only if that proved insufficient; read the part, never bulk-read what you can address.","M264: - To catch up on a ticket: list the titles, fetch its one companion entry, read that. Nothing else, unless that turns out to be insufficient.","SESSION-START","TICKETS","","machinery","plugins/machinery/rules/work-tracking.md § Reading it and keeping it current","catching up on a ticket"
"developer-friendliness","","D7: Escalate: the cheapest index first, then the one compressed entry for the work item, then the full record only once that has proven insufficient.","ANY","RECORDS","","developer-friendliness","claude-code/developer-friendliness/developer-friendliness/SKILL.md § Skill: park what will be needed again, where it will be looked for, and nothing else","reading a record back"
"developer-friendliness","","D8: Never bulk-read what you can address.","ANY","RECORDS","","developer-friendliness","claude-code/developer-friendliness/developer-friendliness/SKILL.md § Skill: park what will be needed again, where it will be looked for, and nothing else","reading addressable records"
"developer-friendliness","","D36: - **Escalate; never bulk.** The cheapest index first — titles, names, a list. Then the one compressed entry for the item. Then the full record, and only once the compressed one has actually proven insufficient. Reading everything to find one line spends exactly the budget the record exists to protect.","ANY","RECORDS","","developer-friendliness","claude-code/developer-friendliness/developer-friendliness/SKILL.md § 5.2 Reading","retrieving a record"
"developer-friendliness","","D37: - **Take the part, not the whole.** Where a record can be read in pieces, read the piece. Pulling the whole thing to reach one line is the same waste as reading a whole file to reach one function, and it arrives carrying everything anyone ever attached to it.","ANY","RECORDS","","developer-friendliness","claude-code/developer-friendliness/developer-friendliness/SKILL.md § 5.2 Reading","record readable in pieces"
"developer-friendliness","","D101: 7. **When you need something back, escalate rather than bulk-read** — index, then the compressed entry, then the full record only if that failed.","ANY","RECORDS","","developer-friendliness","claude-code/developer-friendliness/developer-friendliness/SKILL.md § 9. The process","needing a record back"
"machinery","Use the effort-lifecycle skill at the start of an effort (before its first commit) and again at its end.","M316: Use at the START of any effort, before the first commit lands, to create its own isolated working copy, and again at the END to merge, push and tear that copy down. Covers naming it, resetting it onto the branch the work actually targets, committing from it, the green bar before a merge, and the teardown that is not optional.","SESSION-START","SKILL-TRIGGER","","machinery","claude-code/machinery/effort-lifecycle/SKILL.md § frontmatter","start or end of an effort"
"machinery","Run /machinery:install --machine once per machine (junction to the rules source) and /machinery:install once per project (commit gate, inbox, index, tool-catalog.json tracked, observations.json gitignored; --hosted only with hosted CI that blocks on the check), and re-run after plugin updates; install the unbreakable plugin alongside. The session banner names what is missing, and the installer refuses to replace a non-junction or a foreign pre-commit hook and warns if observations.json is tracked. Show the user the installer's summary verbatim.","M339: Use once per machine (`--machine`) to make the universal rules always-on, and once per project to install the commit gate, inbox, index, and the two tool-assimilation files (`tool-catalog.json`, tracked; `observations.json`, gitignored). Idempotent; re-run after a plugin update to refresh the gate.","SESSION-START","SKILL-TRIGGER","","machinery","claude-code/machinery/install/SKILL.md § frontmatter","new machine, new project, or plugin update"
"machinery","","M485: junction: missing — run /machinery:install --machine","SESSION-START","TOOLING","","machinery","plugins/machinery/scripts/banner.mjs § banner()","session banner reports junction missing"
"machinery","","M486: not set — run /machinery:install","SESSION-START","TOOLING","","machinery","plugins/machinery/scripts/banner.mjs § banner()","session banner reports hooksPath not set"
"machinery","","M487: NOT FOUND — install the unbreakable plugin","SESSION-START","TOOLING","","machinery","plugins/machinery/scripts/banner.mjs § banner()","session banner reports unbreakable skill missing"
"machinery","","M340: Run the installer and show the user its measured summary verbatim.","ANY","REPORTING","","machinery","claude-code/machinery/install/SKILL.md § /machinery:install","running the installer"
"machinery","","M341: - Per project (from the project, any working copy): `node ""${CLAUDE_PLUGIN_ROOT}/scripts/install.mjs""` — add `--hosted` only if the project has a hosted CI that will protect the branch on the check.","ANY","TOOLING","","machinery","claude-code/machinery/install/SKILL.md § /machinery:install","installing per project"
"machinery","","M342: - Per machine: `node ""${CLAUDE_PLUGIN_ROOT}/scripts/install.mjs"" --machine` — creates `~/.claude/rules/machinery` → the rules source (default: this plugin's `rules/`; override in `~/.claude/machinery.json` with `{""rulesSource"": ""<path>""}`).","ANY","TOOLING","","machinery","claude-code/machinery/install/SKILL.md § /machinery:install","installing per machine"
"machinery","","M475: - **Per machine, once:** `node ""${CLAUDE_PLUGIN_ROOT}/scripts/install.mjs"" --machine`, or run `/machinery:install --machine`. Creates `~/.claude/rules/machinery` as a junction/symlink to the rules source, so every session on the machine loads the universal rules.","ANY","TOOLING","","machinery","plugins/machinery/README.md § Install","setting up a machine"
"machinery","","M476: - **Per project:** `/machinery:install` (add `--hosted` only if the project has hosted CI that should also block on the check). Installs the commit gate, the `.claude/machinery/` inbox and index, the project's own `tool-catalog.json` (tracked: the team's entries for tools the universal catalog does not know) and `observations.json` (gitignored: this machine's measurements of how noisy each tool is here), and sets `core.hooksPath`.","ANY","TOOLING","","machinery","plugins/machinery/README.md § Install","setting up a project"
"machinery","","M477: Both are idempotent; re-run after a plugin update to refresh the gate.","ANY","TOOLING","","machinery","plugins/machinery/README.md § Install","plugin updated"
"machinery","","M484: The commit gate assumes invariants are enforced the way `cant-break-by-design` describes (unrepresentable-by-construction, not caller discipline) — install the `unbreakable` plugin alongside this one.","ANY","TOOLING","","machinery","plugins/machinery/README.md § Dependency","installing machinery"
"machinery","","M510: refusing to replace ${target}: not a junction; move it aside and rerun","ANY","TOOLING","","machinery","plugins/machinery/scripts/install.mjs § installMachine","machine install target is not a junction"
"machinery","","M511: refusing to overwrite ${path.relative(root, preCommitPath)}: it does not already invoke the machinery gate; move it aside and rerun","ANY","TOOLING","","machinery","plugins/machinery/scripts/install.mjs § installProject","existing pre-commit hook not machinery's"
"machinery","","M512: warning: ${ignoreLine} is tracked; it is per-machine data and should not be. Run: git rm --cached ${ignoreLine}","ANY","TOOLING","","machinery","plugins/machinery/scripts/install.mjs § installProject","observations.json is tracked"
"machinery","Before a structural change lands on something several parallel lines of work depend on, get sign-off from those lines through the shared record that tracks that seam.","M25: - A structural change to something several parallel lines of work depend on gets sign-off from those lines, through the shared record that tracks that seam, before it lands.","DESIGN","OTHER","","machinery","plugins/machinery/rules/agent-topology.md § Working with the owner","structural change to a shared seam"
"machinery","When defining a standing agent, declare it in one file: the one question it answers, its triggers, its exact tools and its model. Anything outside that question (for the invariant auditor: bugs, style, naming, performance unless they are the mechanism failure) is named in one line and dropped; questions owned by another agent (e.g. output against a reference goes to the comparison agent) are handed off without duplicating its checks.","M26: - Each standing agent is declared in one file: the question it answers, the triggers that should reach for it, the exact tools it is given, and the model it runs on. Nothing about it is folk knowledge.","DESIGN","AGENTS","","machinery","plugins/machinery/rules/agent-topology.md § Defining a standing agent","defining a standing agent"
"machinery","","M27: - A standing agent answers one question and says which. Anything outside it is named in a line and dropped, not pursued, because an agent that widens its own scope stops being predictable.","DESIGN","AGENTS","","machinery","plugins/machinery/rules/agent-topology.md § Defining a standing agent","defining a standing agent"
"machinery","","M28: - Each agent names the other agents whose questions are not its own, hands those off, and does not duplicate their checks.","DESIGN","AGENTS","","machinery","plugins/machinery/rules/agent-topology.md § Defining a standing agent","defining a standing agent"
"machinery","","M439: Bugs, style, naming and performance are out of scope unless they *are* the mechanism failure — name such a thing in a line and move on.","REVIEW","AGENTS","","machinery","plugins/machinery/agents/invariant-auditor.md § The one question","out-of-scope issue found in audit"
"machinery","","M440: Comparing an output against a reference implementation's belongs to the comparison agent (`agents/comparison-agent.md`); hand that off and do not duplicate its checks.","REVIEW","AGENTS","","machinery","plugins/machinery/agents/invariant-auditor.md § The one question","output-vs-reference question arises"
"machinery","When defining or dispatching an agent, contain it by removing capabilities, not by prompt rules. A judging agent gets no command or write access and its definition states the consequence: the caller supplies the scope (diff text or changed-file list), and without one it reports a blocked run and stops, never auditing the whole codebase, guessing scope or offering a partial sweep. An agent that must build and run states the weakness and gets an allowlist of build, test, harness and read-only inspection commands. Verifying and reviewing agents are forbidden by name every command that moves a reference or mutates the copy (branch create/move/delete, merge, force-reset, push, checkout, reset, rebase, commit, stash, adding or removing a copy) and never stage the owner's protected records. A parallel implementation agent owns one directory and writes only inside it.","M29: - An agent that only judges is given no ability to run commands or write files, so it cannot move or damage anything. The capability is removed, not forbidden: a rule in the prompt is a promise.","DESIGN","AGENTS","","machinery","plugins/machinery/rules/agent-topology.md § Containment is structural","defining a judge-only agent"
"machinery","","M30: - Removing a capability has a consequence, and the agent's own definition states it. An agent that cannot work out its own scope has it supplied by the caller; given none, it says so and stops. It never substitutes the whole codebase, and never guesses the scope from timestamps or file contents.","DESIGN","AGENTS","","machinery","plugins/machinery/rules/agent-topology.md § Containment is structural","removing an agent capability"
"machinery","","M31: - Where a job genuinely needs to build and run things, containment is weaker and the definition says so, replacing it with an explicit allowlist of the build, test and read-only inspection commands the agent may use.","DESIGN","AGENTS","GATE","machinery","plugins/machinery/rules/agent-topology.md § Containment is structural","agent must build and run"
"machinery","","M32: - An agent that verifies never integrates: every command that moves a reference or mutates the working copy is forbidden by name, not left to judgement.","DESIGN","AGENTS","GATE","machinery","plugins/machinery/rules/agent-topology.md § Containment is structural","defining a verifying agent"
"machinery","","M419: The weakness is stated here and replaced by an explicit allowlist: build commands, test commands, the comparison harness itself, and read-only inspection of the repository's state and history.","DESIGN","AGENTS","","machinery","plugins/machinery/agents/comparison-agent.md § What it is given, and what it is not","defining the comparison agent"
"machinery","","M35: - An agent doing implementation work in parallel with others owns exactly one unit and writes only files inside it. Ownership is by directory, so two agents cannot collide over the same file.","IMPL","AGENTS","","machinery","plugins/machinery/rules/agent-topology.md § Containment is structural","parallel implementation agents"
"machinery","","M33: - An agent that judges does not touch: no reviewer creates, moves or deletes branches, merges, force-resets a shared reference, or pushes.","REVIEW","AGENTS","MANUAL","machinery","plugins/machinery/rules/agent-topology.md § Containment is structural","a reviewer agent"
"machinery","","M34: - A reviewing agent never stages the owner's own protected working records, whatever else it was asked to look at.","REVIEW","AGENTS","","machinery","plugins/machinery/rules/agent-topology.md § Containment is structural","a reviewing agent"
"machinery","","M420: **Forbidden by name:** anything that moves a reference or mutates the working copy — creating, moving or deleting a branch, merging, force-resetting a shared reference, pushing, checking out, resetting, rebasing, committing, stashing, adding or removing a working copy.","REVIEW","AGENTS","","machinery","plugins/machinery/agents/comparison-agent.md § What it is given, and what it is not","comparison agent running"
"machinery","","M441: The caller supplies either the diff text or the list of changed files.","REVIEW","AGENTS","","machinery","plugins/machinery/agents/invariant-auditor.md § What it is given, and what it is not","dispatching the auditor"
"machinery","","M442: Given neither, it says exactly that and stops — it never audits the whole codebase as a substitute, and never guesses the scope from timestamps or file contents.","REVIEW","AGENTS","","machinery","plugins/machinery/agents/invariant-auditor.md § What it is given, and what it is not","auditor given no scope"
"machinery","","M443: A run with no scope is a blocked run, reported as such; a partial sweep is never offered in place of a verdict.","REVIEW","REPORTING","","machinery","plugins/machinery/agents/invariant-auditor.md § What it is given, and what it is not","audit run with no scope"
"unbreakable","For every design decision and code path, in any language, apply cant-break-by-design: name the invariant in one sentence before writing the path (if you cannot, the design is not ready) and enforce it with a mechanism at the highest rung the language allows. Rungs 7-8 are the target (a sole-constructor type is the standard, deleting the possibility is the goal); a shared helper is the weakest acceptable form and carries promotion debt; rungs 0-4 support a mechanism and are never the enforcement. Test: a call site added by someone who read nothing is still correct. Duplicating a processing step at a second call site means the design is wrong: stop and build the choke point. Where the language is weak, move the invariant to codegen, build-time checks, or one sealed module with a tiny surface backed by lints.","M49: - The `cant-break-by-design` skill is mandatory: it is invoked for every design decision and every code path, in any language, not consulted when someone remembers it. Its rule is the one every other hard rule here is an instance of — every design decision makes the bad state structurally impossible rather than forbidden by a rule someone has to remember, by a mechanism and never by a prose ""must"".","DESIGN","DESIGN","","machinery","plugins/machinery/rules/design-invariants.md § The mandate","every design decision and code path"
"unbreakable","","U1: Use when designing or writing ANY code path, in any language — enforces the absolute rule that invariants must be unrepresentable-by-construction (one pipeline per invariant, bypass = compile error); includes the enforcement ladder, 15 techniques, per-language strongest tools, the tripwire (duplicating a step at a 2nd call site = design already wrong), and 19 anti-patterns that catch invariants whose stated strength exceeds their real mechanism (pub fields under a sole-constructor claim, debug_assert as enforcement, caller preconditions in prose, run-scoped globals, tests standing in for construction)","DESIGN","SKILL-TRIGGER","","unbreakable","pure-prose/unbreakable/cant-break-by-design/SKILL.md § frontmatter","designing or writing any code path"
"unbreakable","","U2: Before writing a new code path: (1) name the invariant, (2) pick the highest rung of the enforcement ladder the language allows, (3) if you catch yourself duplicating a processing step at a second call site, STOP — the design is already wrong; build the choke-point/type instead of pasting.","DESIGN","DESIGN","","unbreakable","pure-prose/unbreakable/cant-break-by-design/SKILL.md § Skill: apply can't-break-by-design to everything you write","before writing a new code path"
"unbreakable","","U4: A shared helper is the weakest acceptable form and carries promotion debt; a sole-constructor type is the standard; deleting the possibility outright is the goal.","DESIGN","DESIGN","","unbreakable","pure-prose/unbreakable/cant-break-by-design/SKILL.md § Skill: apply can't-break-by-design to everything you write","choosing an enforcement form"
"unbreakable","","U8: **The test:** would a new call site, added by someone who read nothing, still be correct? If the answer depends on them noticing something, it is not by design.","DESIGN","DESIGN","","unbreakable","pure-prose/unbreakable/cant-break-by-design/SKILL.md § Can't Break By Design","judging whether a property is by design"
"unbreakable","","U9: Every invariant must sit as high as the language allows.","DESIGN","DESIGN","","unbreakable","pure-prose/unbreakable/cant-break-by-design/SKILL.md § 1. The ladder","every invariant"
"unbreakable","","U11: 7–8 is the target.","DESIGN","DESIGN","","unbreakable","pure-prose/unbreakable/cant-break-by-design/SKILL.md § 1. The ladder","choosing an invariant's rung"
"unbreakable","","U13: 0–4 are support structure, never the enforcement.","DESIGN","DESIGN","UNIT","unbreakable","pure-prose/unbreakable/cant-break-by-design/SKILL.md § 1. The ladder","rungs 0-4 in use"
"unbreakable","","U32: Where the language is weak, move the invariant to a stronger layer: types → codegen → build-time checks → one sealed module with a tiny surface.","DESIGN","DESIGN","","unbreakable","pure-prose/unbreakable/cant-break-by-design/SKILL.md § 3. Strongest tool per language","language too weak for the invariant"
"unbreakable","","U44: 1. **Name the invariant** before writing the path. If you cannot state it in one sentence, the design isn't ready.","DESIGN","PLANNING","","unbreakable","pure-prose/unbreakable/cant-break-by-design/SKILL.md § 4. The process","before writing a path"
"unbreakable","","U45: 2. **Pick the highest rung the language allows.** Shared helper = weakest acceptable, carries promotion debt. Sole-constructor type = standard. Deleting the possibility = goal.","DESIGN","DESIGN","","unbreakable","pure-prose/unbreakable/cant-break-by-design/SKILL.md § 4. The process","choosing enforcement"
"unbreakable","","U47: 4. **Stranger test:** would a call site added by someone who read nothing still be correct?","DESIGN","DESIGN","MANUAL","unbreakable","pure-prose/unbreakable/cant-break-by-design/SKILL.md § 4. The process","a new call site"
"unbreakable","","U50: 7. **When the language can't:** shrink the trusted surface to one sealed module, back it with lints, generate the rest.","DESIGN","DESIGN","BUILD-LINT","unbreakable","pure-prose/unbreakable/cant-break-by-design/SKILL.md § 4. The process","language cannot enforce invariant"
"unbreakable","","U46: 3. **Tripwire:** duplicating a processing step at a second call site means the design is already wrong. Build the choke-point. Never paste.","IMPL","DESIGN","MANUAL","unbreakable","pure-prose/unbreakable/cant-break-by-design/SKILL.md § 4. The process","a processing step duplicated at second site"
"unbreakable","When writing an invariant doc comment or rating an invariant, check the anti-pattern catalogue first (e.g. ""construct via X"" beside public fields, ""guaranteed by callers"", ""should"", ""in practice"", ""pinned by a test"", debug_assert alone). Assign the rung from the mechanism you can point at, never the wording: no named mechanism is rung 0, and ""by construction, pinned by a test"" is rung 3. Any tool or agent that rates strength works from the skill's ladder and catalogue, never a restatement. How strongly a rule is enforced is judged separately from whether it is the right rule.","M57: - Any tool that judges enforcement strength carries the published scale with it, so it never judges without it.","DESIGN","TOOLING","META","machinery","plugins/machinery/rules/design-invariants.md § Weak claims and the enforcement ledger","a tool judges enforcement strength"
"unbreakable","","U5: **Before writing the doc comment, check §5.**","IMPL","DESIGN","MANUAL","unbreakable","pure-prose/unbreakable/cant-break-by-design/SKILL.md § Skill: apply can't-break-by-design to everything you write","before writing a doc comment"
"unbreakable","","U6: If you are about to write ""construct via X"" beside `pub` fields, ""guaranteed by callers"", ""should"", ""in practice"", ""pinned by a test"", or to guard something with `debug_assert` alone — §5 names the failure and the rule that preempts it.","IMPL","DESIGN","","unbreakable","pure-prose/unbreakable/cant-break-by-design/SKILL.md § Skill: apply can't-break-by-design to everything you write","writing invariant-sounding words or debug_assert"
"unbreakable","","M50: - The strength rating measures only how hard a rule is to bypass. Whether the rule is the right rule is a separate question, checked separately.","REVIEW","DESIGN","MANUAL","machinery","plugins/machinery/rules/design-invariants.md § The mandate","rating a rule's enforcement strength"
"unbreakable","","M445: **The scale it rates against** is the enforcement ladder in the mandatory `cant-break-by-design` skill, together with that skill's standing catalog of ways a claim outruns its mechanism. Both live in the skill and are not restated here or anywhere else; the auditor works from the skill itself, and never rates without it.","REVIEW","AGENTS","","machinery","plugins/machinery/agents/invariant-auditor.md § What it is given, and what it is not","rating invariant strength"
"unbreakable","","U7: Assign the rung from the mechanism you can point at, never from how confident the sentence sounds.","CLAIM","DESIGN","","unbreakable","pure-prose/unbreakable/cant-break-by-design/SKILL.md § Skill: apply can't-break-by-design to everything you write","assigning an enforcement rung"
"unbreakable","","U52: 9. **Assign the rung from the mechanism, never the wording.** No named mechanism ⇒ rung 0, however confident the claim.","CLAIM","DESIGN","CLAIM-CHECK","unbreakable","pure-prose/unbreakable/cant-break-by-design/SKILL.md § 4. The process","assigning a rung"
"unbreakable","","U66: - **A5.11 ""By construction, pinned by a test"" is rung 3 — say so.** Reserve ""by construction"" for mechanisms that make the violation unwritable.","CLAIM","COMMUNICATION","CLAIM-CHECK","unbreakable","pure-prose/unbreakable/cant-break-by-design/SKILL.md § 5. Anti-patterns","""by construction, pinned by a test"" claim"
"unbreakable","When you state an invariant, touch code near a weakly held one, write a red-flag phrase (""by convention"", ""callers must"", ""should"", ""in practice"", ""not yet"", ""remember to"", ""deferred"", ""future work"", ""hand-maintained"", ""kept beside"", ""at least visibly"", ""documented lenient rule"", ""pinned by a test"", ""debug builds""), or keep a hand-maintained exception list: in the same commit, promote the invariant or add a ledger row. The row gives the invariant in one sentence, the rung it actually holds, the mechanism holding it, and what would promote it (not merely ""pending""), anchors on a named thing never a line number, and lives where the project schedules work. Debt is allowed; silent debt is a finding. [Resolves conflict: U10, U49 — promotion or ledger row, not promotion only; owner to confirm] [OPEN: whether the obligation starts at rung 5 or below (U49) or rung 6 or below (U11, U12) — owner decides]","U12: 5–6 is the weakest acceptable interim, and only with a ledger row naming the promotion.","DESIGN","RECORDS","","unbreakable","pure-prose/unbreakable/cant-break-by-design/SKILL.md § 1. The ladder","invariant held at rung 5-6"
